Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,RegCheck,RegDate,CleanedRegDate
REG100001,13-12-2019,2019,Madhya Pradesh,Bhopal (MP-04),2W,Scooter,Bajaj,Petrol,BS4,400,2,5,REG19,13/12/2019,12/13/2019
REG100002,14-01-2020,2020,Karnataka,Belgaum (KA-22),2W,Motorcycle,Honda,Petrol,BS6,400,2,4,REG19,14/01/2020,1/14/2020
REG100003,23-03-2023,2023,Karnataka,Delhi South (DL-09),2W,Scooter,Ola Electric,Petrol,BS6,250,2,1,REG19,23/03/2023,3/23/2023
REG100004,26-06-2021,2021,Karnataka,Kota (RJ-20),2W,Scooter,Honda,Petrol,BS6,0,2,3,REG19,26/06/2021,6/26/2021
REG100005,13-11-2022,2022,Karnataka,Ahmedabad (GJ-01),4W,Hatchback,Honda,Petrol,BS6,1598,6,2,REG19,13/11/2022,11/13/2022
REG100006,13-07-2024,2024,Karnataka,Thiruvananthapuram (KL-01),2W,Motorcycle,Royal Enfield,Petrol,BS6,160,2,0,REG19,13/07/2024,7/13/2024
REG100007,28-11-2021,2021,Karnataka,Durgapur (WB-40),2W,Scooter,Bajaj,CNG,BS6,110,2,3,REG19,28/11/2021,11/28/2021
REG100008,19-12-2021,2021,Karnataka,Ludhiana (PB-10),4W,Sedan,Tata Motors,Diesel,BS6,0,6,3,REG19,19/12/2021,12/19/2021
REG100009,18-05-2023,2023,Karnataka,Gwalior (MP-07),LCV,Mini Truck,Mahindra,Diesel,BS6,2523,9,1,REG19,18/05/2023,5/18/2023
REG100010,13-03-2022,2022,Karnataka,Amritsar (PB-02),2W,Scooter,Suzuki,EV,BS6,0,2,2,REG19,13/03/2022,3/13/2022
REG100011,18-09-2021,2021,Karnataka,Kollam (KL-02),4W,MUV,Skoda,Diesel,BS6,2179,5,3,REG19,18/09/2021,9/18/2021
REG100012,2/11/2019,2019,Karnataka,Mumbai Central (MH-01),2W,Motorcycle,Suzuki,EV,BS4,0,2,5,REG19,2/11/2019,2/11/2019
REG100013,16-05-2024,2024,Karnataka,Nizamabad (TS-05),OTH,Tractor,Mahindra,Diesel,BS6,5660,1,0,REG19,16/05/2024,5/16/2024
REG100014,24-02-2023,2023,Karnataka,Rajkot (GJ-03),2W,Motorcycle,Royal Enfield,EV,BS6,0,2,1,REG19,24/02/2023,2/24/2023
REG100015,28-09-2020,2020,Karnataka,Ujjain (MP-13),4W,Sedan,Toyota,Hybrid,BS4,800,7,4,REG19,28/09/2020,9/28/2020
REG100016,10/2/2018,2018,Karnataka,Kolkata (WB-01),2W,Scooter,Royal Enfield,Petrol,BS4,110,2,6,REG19,10/2/2018,10/2/2018
REG100017,26-03-2022,2022,Karnataka,Thrissur (KL-08),4W,Sedan,Tata Motors,EV,BS6,0,8,2,REG19,26/03/2022,3/26/2022
REG100018,10/7/2024,2024,Karnataka,Delhi South (DL-09),4W,Sedan,Kia,Diesel,BS6,2179,8,0,REG19,10/7/2024,10/7/2024
